1,1,1,2025-12-01,vaccinations,now fully vaccinated,2026-06-15,valid,
2,2,2,2025-12-02,vaccinations,update vaxxinations,2026-06-02,void, canceled due misspelling
3,2,2,2025-12-02,vaccinations,updated vaccinations,2026-06-02,valid,
4,3,2,2025-12-03,checkup,no comment,2026-03-03,valid,
5,6,7,2025-12-03,checkup,no comment,2026-03-03,valid,
6,2,8,2025-12-04,vaccinations,updated vaccinations,2026-06-04,valid,
7,4,10,2025-12-06,vaccinations,updated vaccinations,2026-06-06,valid,
8,2,8,2025-12-06,checkup,no comment,2026-03-06,void,
9,5,9,2025-12-07,checkup,no comment,2026-03-07,valid,
10,1,3,2025-12-08,checkup,no comment,2026-03-08,valid,
